PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
769,3,1,28.0,1,0,24.15,1
765,3,1,16.0,0,0,7.775,2
155,3,1,28.0,0,0,7.3125,2
288,3,1,22.0,0,0,7.8958,2
751,2,0,4.0,1,1,23.0,2
18,2,1,28.0,0,0,13.0,2
128,3,1,24.0,0,0,7.1417,2
323,2,0,30.0,0,0,12.35,1
256,3,0,29.0,0,2,15.2458,0
771,3,1,24.0,0,0,9.5,2
857,1,0,45.0,1,1,164.8667,2
191,2,0,32.0,0,0,13.0,2
116,3,1,21.0,0,0,7.925,2
738,1,1,35.0,0,0,512.3292,0
181,3,0,28.0,8,2,69.55,2
302,3,1,28.0,2,0,23.25,1
680,1,1,36.0,0,1,512.3292,0
639,3,0,41.0,0,5,39.6875,2
650,3,0,23.0,0,0,7.55,2
617,3,1,34.0,1,1,14.4,2
597,2,0,28.0,0,0,33.0,2
518,3,1,28.0,0,0,24.15,1
876,3,0,15.0,0,0,7.225,0
46,3,1,28.0,0,0,8.05,2
808,3,0,18.0,0,0,7.775,2
158,3,1,30.0,0,0,8.05,2
666,2,1,32.0,2,0,73.5,2
172,3,1,4.0,4,1,29.125,1
17,3,1,2.0,4,1,29.125,1
512,3,1,28.0,0,0,8.05,2
49,3,1,28.0,2,0,21.6792,0
863,1,0,48.0,0,0,25.9292,2
750,3,1,31.0,0,0,7.75,1
516,1,1,47.0,0,0,34.0208,2
618,3,0,26.0,1,0,16.1,2
481,3,1,9.0,5,2,46.9,2
284,3,1,19.0,0,0,8.05,2
590,3,1,28.0,0,0,8.05,2
226,3,1,22.0,0,0,9.35,2
27,3,1,28.0,0,0,7.225,0
849,2,1,28.0,0,1,33.0,2
438,2,0,24.0,2,3,18.75,2
845,3,1,17.0,0,0,8.6625,2
365,3,1,28.0,1,0,15.5,1
230,3,0,28.0,3,1,25.4667,2
38,3,1,21.0,0,0,8.05,2
858,1,1,51.0,0,0,26.55,2
375,3,0,3.0,3,1,21.075,2
470,3,0,0.75,2,1,19.2583,0
860,3,1,28.0,0,0,7.2292,0
759,3,1,34.0,0,0,8.05,2
652,2,0,18.0,0,1,23.0,2
195,1,0,44.0,0,0,27.7208,0
761,3,1,28.0,0,0,14.5,2
869,3,1,28.0,0,0,9.5,2
504,3,0,37.0,0,0,9.5875,2
862,2,1,21.0,1,0,11.5,2
742,1,1,36.0,1,0,78.85,2
580,3,1,32.0,0,0,7.925,2
889,3,0,28.0,1,2,23.45,2
163,3,1,26.0,0,0,7.775,2
631,1,1,80.0,0,0,30.0,2
153,3,1,55.5,0,0,8.05,2
685,2,1,60.0,1,1,39.0,2
630,3,1,28.0,0,0,7.7333,1
676,3,1,18.0,0,0,7.775,2
112,3,0,14.5,1,0,14.4542,0
227,2,1,19.0,0,0,10.5,2
619,2,0,4.0,2,1,39.0,2
104,3,1,33.0,0,0,8.6542,2
422,3,1,21.0,0,0,7.7333,1
420,3,0,10.0,0,2,24.15,2
587,2,1,47.0,0,0,15.0,2
120,3,0,2.0,4,2,31.275,2
54,2,0,29.0,1,0,26.0,2
152,1,0,22.0,1,0,66.6,2
404,3,1,28.0,1,0,15.85,2
840,1,1,28.0,0,0,29.7,0
208,3,1,26.0,0,0,18.7875,0
753,3,1,33.0,0,0,9.5,2
718,2,0,27.0,0,0,10.5,2
9,3,0,27.0,0,2,11.1333,2
723,2,1,34.0,0,0,13.0,2
37,3,1,28.0,0,0,7.2292,0
453,1,1,30.0,0,0,27.75,0
254,3,1,30.0,1,0,16.1,2
304,2,0,28.0,0,0,12.35,1
668,3,1,28.0,0,0,7.775,2
572,1,0,53.0,2,0,51.4792,2
637,3,1,32.0,0,0,7.925,2
715,2,1,52.0,0,0,13.0,2
263,1,1,52.0,1,1,79.65,2
611,3,0,39.0,1,5,31.275,2
298,1,0,2.0,1,2,151.55,2
415,3,1,44.0,0,0,7.925,2
151,2,1,51.0,0,0,12.525,2
706,2,1,39.0,0,0,26.0,2
790,1,1,46.0,0,0,79.2,0
551,1,1,17.0,0,2,110.8833,0
489,3,1,30.0,0,0,8.05,2
148,3,0,9.0,2,2,34.375,2
147,3,1,27.0,0,0,7.7958,2
837,3,1,21.0,0,0,8.6625,2
827,3,1,28.0,0,0,56.4958,2
871,3,1,26.0,0,0,7.8958,2
349,3,1,3.0,1,1,15.9,2
464,2,1,48.0,0,0,13.0,2
326,1,0,36.0,0,0,135.6333,0
187,3,0,28.0,1,0,15.5,1
124,2,0,32.5,0,0,13.0,2
760,1,0,33.0,0,0,86.5,2
609,2,0,22.0,1,2,41.5792,0
144,3,1,19.0,0,0,6.75,1
852,3,1,74.0,0,0,7.775,2
198,3,1,42.0,0,1,8.4042,2
610,1,0,40.0,0,0,153.4625,2
280,3,0,35.0,1,1,20.25,2
294,3,0,24.0,0,0,8.85,2
401,3,1,39.0,0,0,7.925,2
123,2,1,32.5,1,0,30.0708,0
184,2,1,1.0,2,1,39.0,2
203,3,1,34.0,0,0,6.4958,2
439,1,1,64.0,1,4,263.0,2
247,3,0,25.0,0,0,7.775,2
416,3,0,28.0,0,0,8.05,2
789,3,1,1.0,1,2,20.575,2
130,3,1,45.0,0,0,6.975,2
638,2,1,31.0,1,1,26.25,2
403,3,0,21.0,1,0,9.825,2
795,3,1,25.0,0,0,7.8958,2
690,1,0,15.0,0,1,211.3375,2
811,3,1,26.0,0,0,7.8875,2
220,2,1,30.0,0,0,10.5,2
642,1,0,24.0,0,0,69.3,0
813,2,1,35.0,0,0,10.5,2
673,2,1,70.0,0,0,10.5,2
816,1,1,28.0,0,0,0.0,2
625,3,1,21.0,0,0,16.1,2
856,3,0,18.0,0,1,9.35,2
681,3,0,28.0,0,0,8.1375,1
387,3,1,1.0,5,2,46.9,2
864,3,0,28.0,8,2,69.55,2
510,3,1,26.0,0,0,56.4958,2
268,3,1,25.0,1,0,7.775,2
733,2,1,28.0,0,0,0.0,2
442,3,1,20.0,0,0,9.5,2
497,1,0,54.0,1,0,78.2667,0
113,3,1,22.0,0,0,8.05,2
233,2,1,59.0,0,0,13.5,2
775,2,0,54.0,1,3,23.0,2
608,1,1,27.0,0,0,30.5,2
672,1,1,31.0,1,0,52.0,2
374,1,1,22.0,0,0,135.6333,0
873,1,1,33.0,0,0,5.0,2
752,3,1,6.0,0,1,12.475,2
234,3,0,5.0,4,2,31.3875,2
807,1,1,39.0,0,0,0.0,2
677,3,1,24.5,0,0,8.05,2
318,2,1,54.0,0,0,14.0,2
649,3,1,28.0,0,0,7.55,2
411,3,1,28.0,0,0,7.8958,2
799,3,1,30.0,0,0,7.2292,0
359,3,0,28.0,0,0,7.8792,1
259,1,0,35.0,0,0,512.3292,0
628,1,0,21.0,0,0,77.9583,2
633,1,1,32.0,0,0,30.5,0
283,3,1,16.0,0,0,9.5,2
377,3,0,22.0,0,0,7.25,2
385,3,1,28.0,0,0,7.8958,2
225,1,1,38.0,1,0,90.0,2
847,3,1,28.0,8,2,69.55,2
729,2,1,25.0,1,0,26.0,2
473,2,0,33.0,1,2,27.75,2
348,3,0,28.0,1,0,16.1,2
506,1,1,18.0,1,0,108.9,0
640,3,1,28.0,1,0,16.1,2
879,3,1,28.0,0,0,7.8958,2
825,3,1,2.0,4,1,39.6875,2
804,3,1,0.42,0,1,8.5167,0
620,2,1,26.0,0,0,10.5,2
762,3,1,41.0,0,0,7.125,2
646,1,1,48.0,1,0,76.7292,0
755,2,0,48.0,1,2,65.0,2
557,1,0,48.0,1,0,39.6,0
851,3,1,4.0,4,2,31.275,2
578,1,0,39.0,1,0,55.9,2
86,3,0,33.0,3,0,15.85,2
243,2,1,29.0,0,0,10.5,2
699,1,1,49.0,1,1,110.8833,0
160,3,1,28.0,8,2,69.55,2
525,3,1,28.0,0,0,7.2292,0
36,1,1,42.0,1,0,52.0,2
541,1,0,36.0,0,2,71.0,2
171,1,1,61.0,0,0,33.5,2
655,3,0,18.0,0,0,6.75,1
787,3,0,18.0,0,0,7.4958,2
756,2,1,0.67,1,1,14.5,2
839,3,1,32.0,0,0,56.4958,2
96,3,1,28.0,0,0,8.05,2
564,3,1,28.0,0,0,8.05,2
241,3,0,28.0,1,0,14.4542,0
575,3,1,16.0,0,0,8.05,2
691,1,1,31.0,1,0,57.0,2
461,1,1,48.0,0,0,26.55,2
554,3,1,22.0,0,0,7.225,0
781,3,0,13.0,0,0,7.2292,0
207,3,1,32.0,1,0,15.85,2
393,3,1,28.0,2,0,7.925,2
398,2,1,46.0,0,0,26.0,2
757,3,1,28.0,0,0,7.7958,2
218,2,1,42.0,1,0,27.0,2
5,3,1,35.0,0,0,8.05,2
643,3,0,2.0,3,2,27.9,2
798,3,0,31.0,0,0,8.6833,2
613,3,0,28.0,1,0,15.5,1
739,3,1,28.0,0,0,7.8958,2
547,2,0,19.0,1,0,26.0,2
726,3,1,20.0,0,0,8.6625,2
684,3,1,14.0,5,2,46.9,2
99,2,0,34.0,0,1,23.0,2
728,3,0,28.0,0,0,7.7375,1
574,3,0,28.0,0,0,7.75,1
407,3,1,51.0,0,0,7.75,2
503,3,0,28.0,0,0,7.6292,1
48,3,0,28.0,0,0,7.75,1
33,3,0,28.0,0,0,7.75,1
201,3,1,28.0,0,0,9.5,2
135,2,1,25.0,0,0,13.0,2
28,1,1,19.0,3,2,263.0,2
848,3,1,35.0,0,0,7.8958,0
231,1,0,35.0,1,0,83.475,2
490,3,1,9.0,1,1,15.9,2
379,3,1,20.0,0,0,4.0125,0
289,2,1,42.0,0,0,13.0,2
419,2,1,30.0,0,0,13.0,2
675,2,1,28.0,0,0,0.0,2
392,3,1,21.0,0,0,7.7958,2
593,3,1,47.0,0,0,7.25,2
499,1,0,25.0,1,2,151.55,2
139,3,1,16.0,0,0,9.2167,2
63,1,1,45.0,1,0,83.475,2
472,3,1,38.0,0,0,8.6625,2
648,1,1,56.0,0,0,35.5,0
129,3,0,28.0,1,1,22.3583,0
868,1,1,31.0,0,0,50.4958,2
521,1,0,30.0,0,0,93.5,2
65,1,1,28.0,0,0,27.7208,0
15,3,0,14.0,0,0,7.8542,2
157,3,0,16.0,0,0,7.7333,1
41,3,0,40.0,1,0,9.475,2
493,1,1,55.0,0,0,30.5,2
380,3,1,19.0,0,0,7.775,2
188,1,1,45.0,0,0,26.55,2
764,1,0,36.0,1,2,120.0,2
217,3,0,27.0,0,0,7.925,2
53,1,0,49.0,1,0,76.7292,0
338,1,0,41.0,0,0,134.5,0
749,1,1,19.0,1,0,53.1,2
720,3,1,33.0,0,0,7.775,2
725,1,1,27.0,1,0,53.1,2
296,1,1,28.0,0,0,27.7208,0
702,1,1,35.0,0,0,26.2875,2
252,3,0,29.0,1,1,10.4625,2
727,2,0,30.0,3,0,21.0,2
462,3,1,34.0,0,0,8.05,2
456,3,1,29.0,0,0,7.8958,0
888,1,0,19.0,0,0,30.0,2
270,1,0,35.0,0,0,135.6333,2
202,3,1,28.0,8,2,69.55,2
162,2,0,40.0,0,0,15.75,2
556,1,1,62.0,0,0,26.55,2
730,3,0,25.0,1,0,7.925,2
402,3,1,26.0,0,0,8.05,2
703,3,0,18.0,0,1,14.4542,0
477,2,1,34.0,1,0,21.0,2
772,3,1,48.0,0,0,7.8542,2
106,3,1,28.0,0,0,7.8958,2
566,3,1,24.0,2,0,24.15,2
390,2,0,17.0,0,0,12.0,0
2,1,0,38.0,1,0,71.2833,0
833,3,1,28.0,0,0,7.2292,0
562,3,1,40.0,0,0,7.8958,2
81,3,1,22.0,0,0,9.0,2
206,3,0,2.0,0,1,10.4625,2
35,1,1,28.0,1,0,82.1708,0
776,3,1,18.0,0,0,7.75,2
509,3,1,28.0,0,0,22.525,2
428,2,0,19.0,0,0,26.0,2
455,3,1,28.0,0,0,8.05,2
367,1,0,60.0,1,0,75.25,0
92,3,1,20.0,0,0,7.8542,2
340,1,1,45.0,0,0,35.5,2
565,3,0,28.0,0,0,8.05,2
346,2,0,24.0,0,0,13.0,2
777,3,1,28.0,0,0,7.75,1
242,3,0,28.0,1,0,15.5,1
14,3,1,39.0,1,5,31.275,2
316,3,0,26.0,0,0,7.8542,2
601,2,0,24.0,2,1,27.0,2
388,2,0,36.0,0,0,13.0,2
274,1,1,37.0,0,1,29.7,0
167,1,0,28.0,0,1,55.0,2
884,2,1,28.0,0,0,10.5,2
647,3,1,19.0,0,0,7.8958,2
819,3,1,43.0,0,0,6.45,2
485,1,1,25.0,1,0,91.0792,0
874,3,1,47.0,0,0,9.0,2
505,1,0,16.0,0,0,86.5,2
832,2,1,0.83,1,1,18.75,2
244,3,1,22.0,0,0,7.125,2
567,3,1,19.0,0,0,7.8958,2
563,2,1,28.0,0,0,13.5,2
687,3,1,14.0,4,1,39.6875,2
190,3,1,36.0,0,0,7.8958,2
783,1,1,29.0,0,0,30.0,2
700,3,1,42.0,0,0,7.65,2
476,1,1,28.0,0,0,52.0,2
682,1,1,27.0,0,0,76.7292,0
511,3,1,29.0,0,0,7.75,1
59,2,0,5.0,1,2,27.75,2
475,3,0,22.0,0,0,9.8375,2
561,3,1,28.0,0,0,7.75,1
748,2,0,30.0,0,0,13.0,2
253,1,1,62.0,0,0,26.55,2
22,2,1,34.0,0,0,13.0,2
314,3,1,28.0,0,0,7.8958,2
460,3,1,28.0,0,0,7.75,1
161,3,1,44.0,0,1,16.1,2
277,3,0,45.0,0,0,7.75,2
192,2,1,19.0,0,0,13.0,2
386,2,1,18.0,0,0,73.5,2
806,3,1,31.0,0,0,7.775,2
414,2,1,28.0,0,0,0.0,2
492,3,1,21.0,0,0,7.25,2
344,2,1,25.0,0,0,13.0,2
770,3,1,32.0,0,0,8.3625,2
309,2,1,30.0,1,0,24.0,0
662,3,1,40.0,0,0,7.225,0
131,3,1,33.0,0,0,7.8958,0
664,3,1,36.0,0,0,7.4958,2
872,1,0,47.0,1,1,52.5542,2
100,2,1,34.0,1,0,26.0,2
373,3,1,19.0,0,0,8.05,2
88,3,1,28.0,0,0,8.05,2
459,2,0,50.0,0,0,10.5,2
331,3,0,28.0,2,0,23.25,1
215,3,1,28.0,1,0,7.75,1
467,2,1,28.0,0,0,0.0,2
122,3,1,28.0,0,0,8.05,2
615,3,1,35.0,0,0,8.05,2
21,2,1,35.0,0,0,26.0,2
701,1,0,18.0,1,0,227.525,0
72,3,0,16.0,5,2,46.9,2
107,3,0,21.0,0,0,7.65,2
271,1,1,28.0,0,0,31.0,2
861,3,1,41.0,2,0,14.1083,2
436,1,0,14.0,1,2,120.0,2
103,1,1,21.0,0,1,77.2875,2
